Real,Probabilidad,Prediccion
1,0.20160971164730368,0
0,0.11469788764909376,0
0,0.22095990277242714,0
0,0.20996891975936463,0
0,0.36094093289855095,0
1,0.07080221770430474,0
0,0.13443616255707644,0
0,0.05979492390190839,0
0,0.05290440055595349,0
0,0.07454679272425246,0
0,0.05730820361011949,0
0,0.05823823513430365,0
0,0.062201837678953445,0
0,0.07701635010931679,0
0,0.07395136194926949,0
0,0.038835597040738405,0
0,0.1164329396255435,0
0,0.0830373039277184,0
0,0.19224183228978503,0
0,0.16157482435414672,0
0,0.14355569407402155,0
0,0.10548849285890272,0
1,0.11498017234607319,0
0,0.11860103552256336,0
0,0.28961256287135817,0
1,0.3547659396218544,0
1,0.28086279780580464,0
1,0.276592790351593,0
0,0.047050306546973265,0
0,0.0628583964302315,0
0,0.44513900630556696,0
0,0.09130040359297686,0
0,0.13506701353204636,0
0,0.13780886965028366,0
0,0.09408712139193787,0
1,0.4196366918929561,0
0,0.10775495983656487,0
0,0.11614585946392914,0
0,0.408385887756129,0
0,0.1963223529462712,0
0,0.07177416355307338,0
1,0.8930841627738352,1
0,0.23942101639174151,0
0,0.05018273478483546,0
1,0.5638828259651466,1
0,0.06128310930155603,0
0,0.1119993501276975,0
0,0.12831297858409924,0
1,0.20708141764597496,0
0,0.07235558327811767,0
0,0.04999424535849363,0
0,0.040821638563208,0
0,0.1576211969440484,0
0,0.06881804176869034,0
0,0.09518622241119626,0
0,0.2336201078692394,0
1,0.05098974375932686,0
0,0.060598371237637984,0
1,0.4320440842936953,0
0,0.10000382298206516,0
1,0.03170895871911036,0
0,0.11200318863116397,0
0,0.04194511460000042,0
1,0.10896677591713264,0
0,0.1457932819705646,0
0,0.05643837366545164,0
0,0.09263641207703932,0
0,0.07423711587375081,0
0,0.13532004025313824,0
1,0.2124814053641271,0
0,0.056845533598356146,0
0,0.2066584492570983,0
0,0.0300919649304783,0
1,0.19210472702902726,0
0,0.13808972962698446,0
0,0.0626362657123737,0
0,0.055862396105388026,0
0,0.07393734092662786,0
0,0.042055153939791826,0
1,0.21683549137160868,0
0,0.1675685767367518,0
0,0.04089584300020315,0
0,0.03320419019142641,0
0,0.1282065531823351,0
1,0.1259879269616152,0
0,0.25217817474953086,0
0,0.13379640873435786,0
0,0.04090835984056083,0
0,0.16656935631034483,0
0,0.13398711135903132,0
0,0.12394645292080278,0
1,0.10302361928342643,0
0,0.03475946870493933,0
1,0.06547619417837164,0
0,0.14527827422066833,0
1,0.2454707669372561,0
0,0.025452111673644615,0
0,0.07915550383957068,0
0,0.10863560569301965,0
0,0.09128776139854711,0
1,0.3177111160156678,0
0,0.2807802849221083,0
0,0.066869872704412,0
0,0.03469223155552887,0
0,0.1356568282956172,0
0,0.05098295437062985,0
0,0.042784596764797976,0
0,0.33284668900291947,0
1,0.3498397200571816,0
0,0.04545873417490534,0
0,0.04694149445060114,0
1,0.32432257844119,0
0,0.13884202067136564,0
0,0.10558514239184943,0
0,0.12090506011173813,0
0,0.19890095039930888,0
0,0.09024673813915794,0
0,0.11096783273001036,0
0,0.13264630792700619,0
0,0.11253197907168079,0
0,0.0865988917648207,0
0,0.08568862637474141,0
0,0.09785708408422786,0
0,0.13857878605965437,0
0,0.08129677854539284,0
0,0.07716150365916603,0
0,0.04935896422817475,0
0,0.04376023305300424,0
0,0.04257609064202948,0
0,0.12332818255938488,0
1,0.07293389861396826,0
0,0.44519852510028274,0
1,0.21079837631441012,0
1,0.14658542154455867,0
0,0.042057578575988686,0
0,0.09456576018588454,0
0,0.050900434704605736,0
0,0.41454273385989027,0
0,0.08657737679424303,0
0,0.07978188671844876,0
0,0.3599865803263199,0
0,0.03550808767215756,0
0,0.05552717429285453,0
0,0.029943065574831947,0
1,0.18596912193262244,0
0,0.2996003972708912,0
0,0.07537196323698947,0
1,0.11008028734978836,0
0,0.05108942281340856,0
0,0.06254889725611361,0
0,0.2584540112605821,0
1,0.20530826108839825,0
1,0.06763783732094783,0
0,0.06861839415830859,0
0,0.07048840852389057,0
0,0.1101441380953011,0
0,0.18203220197376532,0
0,0.07094284172840064,0
0,0.121070989783466,0
0,0.23436497772095327,0
0,0.05454846809704526,0
0,0.07470063177046932,0
0,0.09129109972678147,0
0,0.03267684083269638,0
0,0.08436101092112087,0
0,0.06835218268345733,0
0,0.16891230641593694,0
0,0.618609349368888,1
0,0.1325704854712279,0
0,0.14284318734858145,0
0,0.12801678795608906,0
0,0.04944096978805243,0
0,0.12483556245596025,0
0,0.08343052711891479,0
0,0.09456762857528639,0
0,0.06709885418763342,0
0,0.037635769402452404,0
1,0.39313569005863286,0
0,0.1033016909706333,0
0,0.053710130960449444,0
0,0.10094855774001013,0
1,0.16684823488609046,0
0,0.06911139267574806,0
0,0.1136361062353748,0
0,0.05536321982142926,0
0,0.038832052797403156,0
0,0.05852931204969988,0
0,0.05719586948394181,0
0,0.21619826541660717,0
1,0.2525793589387396,0
0,0.07154779282904312,0
0,0.34668595590707246,0
0,0.11793985669922859,0
0,0.060052407541890306,0
0,0.13625587861106989,0
0,0.05626856891919536,0
0,0.03481595797914774,0
0,0.11324040396916887,0
0,0.10855201784242115,0
0,0.09072200610034119,0
0,0.183494379116975,0
0,0.07551024302574891,0
0,0.18239689995939187,0
0,0.08999700794102337,0
0,0.04695576692614187,0
0,0.1047767049739807,0
0,0.3103343112186014,0
0,0.2423589896516888,0
1,0.292905085792341,0
0,0.16781555977153173,0
0,0.05567494102373832,0
0,0.16685879315472843,0
0,0.2923038339479182,0
0,0.1764165441176135,0
0,0.04167639339180507,0
0,0.33662043419653903,0
1,0.06360754126981898,0
0,0.20496273162896142,0
0,0.0499252780024026,0
0,0.059589761747426265,0
0,0.13658909091716354,0
0,0.20548301086710125,0
0,0.06891832238374072,0
1,0.12215819134111883,0
0,0.2052485776200201,0
0,0.10421445721776793,0
0,0.055989922317190376,0
0,0.2519841522357548,0
0,0.11163416437773949,0
0,0.17379113297512677,0
0,0.3197886220387401,0
0,0.12958412587380128,0
0,0.08540398160989604,0
0,0.08897860025553735,0
0,0.11475476539732792,0
0,0.0705800185737497,0
0,0.0681831194418461,0
0,0.235856202711637,0
0,0.03319786135322833,0
1,0.08049892175413867,0
0,0.030901026116228712,0
1,0.12998924101977702,0
0,0.09845132274561742,0
0,0.0815817551712979,0
1,0.11141935362625528,0
0,0.19754235395566863,0
0,0.05990886529650867,0
0,0.0344549790223825,0
0,0.19262092474409745,0
0,0.026768313901721963,0
0,0.10481599834401081,0
0,0.12305175414151667,0
1,0.1130061342273772,0
1,0.052964447549080675,0
0,0.09923521758226878,0
0,0.30860249672897194,0
0,0.07422347813512568,0
1,0.2899737587971485,0
0,0.5874424263010722,1
0,0.11442185097491286,0
0,0.17085386986819673,0
0,0.3576716305498743,0
0,0.3807318784299617,0
0,0.14442530817272137,0
0,0.04938115342048408,0
0,0.04977124579804709,0
0,0.15302378339073502,0
0,0.21032499288863604,0
0,0.3086443043446065,0
0,0.08389968324184183,0
0,0.37988266287330036,0
0,0.08628593398131121,0
0,0.06274578791498563,0
0,0.161072506467912,0
0,0.17608636528945204,0
0,0.05971655495627506,0
0,0.046979554293957705,0
0,0.11142015114028882,0
0,0.10033283884362669,0
0,0.16770946417962748,0
0,0.03603378651281148,0
1,0.1549932562334777,0
1,0.3455595301929233,0
0,0.19408869191916495,0
0,0.05311986942124698,0
0,0.07080409019502804,0
0,0.17197854844920785,0
0,0.1385871121082625,0
0,0.10817179572180778,0
1,0.2840611427657364,0
0,0.05710754865605132,0
0,0.0509063458768355,0
0,0.13189797379800902,0
0,0.13372145363502116,0
1,0.15385622375057478,0
0,0.06188304212111067,0
0,0.19195892115669794,0
